,lineId,name,team,position,icetime,iceTimeRank,games_played,situation,Player1,Player2,Player3
0,847793384801858482113,Luostarinen-Lundell-Reinhart,FLA,line,7819,172,24,5on5,Luostarinen,Lundell,Reinhart
2,847579884793168480821,Kunin-Granlund-Zadina,SJS,line,1073,65,7,5on5,Kunin,Granlund,Zadina
4,847793984784838479318,Marner-Matthews-Nylander,TOR,line,2425,346,31,5on5,Marner,Matthews,Nylander
5,847595884816568482148,Protas-Lapierre-Sgarbossa,WSH,line,821,30,4,5on5,Protas,Lapierre,Sgarbossa
8,847821184784218479291,Greer-Rooney-Hunt,CGY,line,1808,23,5,5on5,Greer,Rooney,Hunt
10,847647984796758481560,Moore-Danault-Kaliyev,LAK,line,7319,77,17,5on5,Moore,Danault,Kaliyev
11,847749684788568483395,Bains-Lindholm-Garland,VAN,line,1398,7,3,5on5,Bains,Lindholm,Garland
12,847741684775058477955,Mccann-Wennberg-Bjorkstrand,SEA,line,830,144,13,5on5,Mccann,Wennberg,Bjorkstrand
14,847403484751498477451,Maroon-Hartman-Johansson,MIN,line,2159,91,10,5on5,Maroon,Hartman,Johansson
15,847458684757688483524,Schwartz-Wright-Eberle,SEA,line,3334,7,5,5on5,Schwartz,Wright,Eberle
17,847515184757548478115,Engvall-Nelson-Palmieri,NYI,line,33812,100,55,5on5,Engvall,Nelson,Palmieri
18,847744484799778481789,Kartye-Yamamoto-Burakovsky,SEA,line,963,33,4,5on5,Kartye,Yamamoto,Burakovsky
19,848084984826998483431,Cooley-Hayton-Guenther,ARI,line,1671,16,4,5on5,Cooley,Hayton,Guenther
20,847344984768788480762,Robinson-Girgensons-Okposo,BUF,line,3437,68,9,5on5,Robinson,Girgensons,Okposo
21,847682284773538479718,Motte-Glendening-Barr-Boulet,TBL,line,780,26,4,5on5,Motte,Glendening,Barr-Boulet
22,847456484764538477426,Stamkos-Paul-Kucherov,TBL,line,1837,166,20,5on5,Stamkos,Paul,Kucherov
23,847398684764588478873,Killorn-Strome-Terry,ANA,line,1541,90,8,5on5,Killorn,Strome,Terry
24,847733084802088482162,Kubalik-Jarventie-Batherson,OTT,line,1426,28,5,5on5,Kubalik,Jarventie,Batherson
25,847689784781048481543,Blais-Sundqvist-Alexandrov,STL,line,2259,42,8,5on5,Blais,Sundqvist,Alexandrov
26,847886484821778483499,Ohgren-Khusnutdinov-Kaprizov,MIN,line,682,34,4,5on5,Ohgren,Khusnutdinov,Kaprizov
27,848025284811478482117,Reichel-Guttman-Johnson,CHI,line,619,43,4,5on5,Reichel,Guttman,Johnson
28,847701584779348478402,Draisaitl-Mcdavid-Brown,EDM,line,1127,73,8,5on5,Draisaitl,Mcdavid,Brown
31,847645684774968479346,Huberdeau-Lindholm-Dube,CGY,line,1211,94,9,5on5,Huberdeau,Lindholm,Dube
33,847351284784728482116,Sttzle-Giroux-Joseph,OTT,line,18311,158,38,5on5,Sttzle,Giroux,Joseph
34,847578484815228482175,Skinner-Krebs-Peterka,BUF,line,1847,95,11,5on5,Skinner,Krebs,Peterka
35,847350484752318479328,Clutterbuck-Cizikas-Gauthier,NYI,line,1968,33,6,5on5,Clutterbuck,Cizikas,Gauthier
36,848020884808018482116,Tkachuk-Sttzle-Batherson,OTT,line,5254,561,56,5on5,Tkachuk,Sttzle,Batherson
37,847745684793378479992,Rasmussen-Compher-Debrincat,DET,line,2819,58,10,5on5,Rasmussen,Compher,Debrincat
38,847353384769218480830,Martinook-Staal-Svechnikov,CAR,line,2820,14,5,5on5,Martinook,Staal,Svechnikov
40,847747884780208479353,Carrier-Amadio-Howden,VGK,line,1384,91,8,5on5,Carrier,Amadio,Howden
42,847576084826998483431,Bjugstad-Cooley-Guenther,ARI,line,2053,107,11,5on5,Bjugstad,Cooley,Guenther
44,847967184800748481716,Texier-Voronkov-Olivier,CBJ,line,914,32,4,5on5,Texier,Voronkov,Olivier
45,847745084784638479390,Beauvillier-Dickinson-Raddysh,CHI,line,1370,31,4,5on5,Beauvillier,Dickinson,Raddysh
46,847795684784018483505,Poitras-Zacha-Pastrnak,BOS,line,1209,24,4,5on5,Poitras,Zacha,Pastrnak
50,847341984757458478046,Heinen-Coyle-Marchand,BOS,line,4418,177,21,5on5,Heinen,Coyle,Marchand
52,848001584800288480797,Farabee-Frost-Tippett,PHI,line,1195,289,21,5on5,Farabee,Frost,Tippett
53,847687284800158481553,Tippett-Laughton-Brink,PHI,line,1231,317,19,5on5,Tippett,Laughton,Brink
54,847527884784348481032,Cotter-Froese-Kolesar,VGK,line,985,139,12,5on5,Cotter,Froese,Kolesar
56,847810984793708480762,Robinson-Jost-Olofsson,BUF,line,2415,88,11,5on5,Robinson,Jost,Olofsson
57,847464184764548477998,Foegele-Henrique-Nugent-Hopkins,EDM,line,1349,52,7,5on5,Foegele,Henrique,Nugent-Hopkins
58,847531484775008479328,Lee-Horvat-Gauthier,NYI,line,730,63,6,5on5,Lee,Horvat,Gauthier
60,847345384794008482155,Lewis-Dubois-Laferriere,LAK,line,1061,213,18,5on5,Lewis,Dubois,Laferriere
61,847810984815228482175,Olofsson-Krebs-Peterka,BUF,line,1119,102,9,5on5,Olofsson,Krebs,Peterka
63,847849884793658480003,Debrusk-Boqvist-Frederic,BOS,line,1336,125,8,5on5,Debrusk,Boqvist,Frederic
64,847793984809958482720,Knies-Holmberg-Nylander,TOR,line,1324,54,6,5on5,Knies,Holmberg,Nylander
65,847691884775058481554,Vesey-Wennberg-Kakko,NYR,line,759,54,6,5on5,Vesey,Wennberg,Kakko
66,847933084795438481058,Pezzetta-Gignac-Ylnen,MTL,line,937,13,3,5on5,Pezzetta,Gignac,Ylnen
68,847121584817038482055,O'Connor-Malkin-Puustinen,PIT,line,2013,61,9,5on5,O'Connor,Malkin,Puustinen
69,847790384800688480220,Cates-Poehling-Hathaway,PHI,line,9608,238,35,5on5,Cates,Poehling,Hathaway
71,847414984752258476889,Smith-Faksa-Dadonov,DAL,line,2670,64,9,5on5,Smith,Faksa,Dadonov
72,847522084779198482177,Foligno-Gaudreau-Khusnutdinov,MIN,line,1475,17,4,5on5,Foligno,Gaudreau,Khusnutdinov
73,847854284801858482113,Luostarinen-Lundell-Rodrigues,FLA,line,13351,204,40,5on5,Luostarinen,Lundell,Rodrigues
74,847517284764568481028,Huberdeau-Kadri-Pospisil,CGY,line,4046,300,33,5on5,Huberdeau,Kadri,Pospisil
75,847576384764388476897,Saad-Hayes-Sundqvist,STL,line,707,261,19,5on5,Saad,Hayes,Sundqvist
76,847942384817168482451,Pyyhtia-Voronkov-Nylander,CBJ,line,659,43,4,5on5,Pyyhtia,Voronkov,Nylander
77,847121584751918475810,Rust-Malkin-Smith,PIT,line,2065,199,17,5on5,Rust,Malkin,Smith
79,847707084774828483431,O'Brien-Sanford-Cooley,ARI,line,788,14,3,5on5,O'Brien,Sanford,Cooley
81,847687284800688480797,Farabee-Poehling-Laughton,PHI,line,1838,24,4,5on5,Farabee,Poehling,Laughton
82,847682684792938480009,Tanev-Gourde-Tolvanen,SEA,line,2353,272,23,5on5,Tanev,Gourde,Tolvanen
83,847735384778398479591,Sheary-Motte-Eyssimont,TBL,line,5747,81,18,5on5,Sheary,Motte,Eyssimont
85,847749284774948481186,Drouin-Mackinnon-O'Connor,COL,line,1703,122,11,5on5,Drouin,Mackinnon,O'Connor
86,847692784780578478856,Joshua-Blueger-Garland,VAN,line,21632,127,43,5on5,Joshua,Blueger,Garland
87,847841384794208482175,Greenway-Thompson-Peterka,BUF,line,611,143,12,5on5,Greenway,Thompson,Peterka
94,847062184758428477406,Janmark-Carrick-Perry,EDM,line,1235,76,8,5on5,Janmark,Carrick,Perry
95,847952584811868481641,Kiviranta-Colton-O'Connor,COL,line,1290,45,6,5on5,Kiviranta,Colton,O'Connor
96,847747384808218481477,Zadina-Sturm-Bailey,SJS,line,650,119,13,5on5,Zadina,Sturm,Bailey
97,847888184793838481147,Seney-Johnson-Katchouk,CHI,line,1386,8,3,5on5,Seney,Johnson,Katchouk
98,847591384769058481032,Cotter-Stephenson-Stone,VGK,line,7712,145,26,5on5,Cotter,Stephenson,Stone
99,847404084774068478585,Janmark-Ryan-Gagner,EDM,line,809,30,4,5on5,Janmark,Ryan,Gagner
101,847685884824968483808,Di Giuseppe-Aman-Kuzmenko,VAN,line,1036,12,3,5on5,Di Giuseppe,Aman,Kuzmenko
